,Country,Population,Motor_vehicles_per_1k,Manufacturing_value_normalized,Total_Motor_vehicles
0,Afghanistan,38041754.0,47.0,0.0005600639560302292,1787962.438
2,Albania,2880917.0,167.0,0.0002339892324027231,481113.139
3,Algeria,43053054.0,153.0,0.011798048841421521,6587117.262
4,Andorra,77142.0,1.0,2.3561106739116857e-05,77.142
5,Angola,31825295.0,32.0,0.0020077244394478794,1018409.4400000001
6,Antigua and Barbuda,97118.0,230.0,9.895049653363312e-06,22337.14
7,Argentina,44780677.0,316.0,0.016482883017925175,14150693.932
8,Armenia,2957731.0,177.0,0.0003512305290113047,523518.387
9,Australia,1.0,789.0,0.020691147336206358,0.789
10,Austria,8955102.0,555.0,0.019255309474736117,4970081.61
11,Azerbaijan,1.0,124.0,0.0005654789831990506,0.124
12,Bahamas,389482.0,81.0,,31548.042
13,Bahrain,1641172.0,422.0,0.0016640287302479545,692574.584
14,Bangladesh,163046161.0,4.0,0.012293995378177502,652184.644
15,Barbados,287025.0,387.0,6.595465617388045e-05,111078.675
16,Belarus,9452411.0,369.0,0.0031998750858784585,3487939.659
17,Belgium,11539328.0,508.0,0.016660143651239773,5861978.624
18,Belize,390353.0,139.0,2.604649303603772e-05,54259.067
19,Benin,11801151.0,24.0,0.00031801761289113734,283227.624
20,Bhutan,763092.0,57.0,4.5799038161264126e-05,43496.244
21,Bolivia,11513100.0,72.0,0.001041037536693523,828943.2000000001
24,Botswana,2303697.0,177.0,0.00023991913059771404,407754.369
25,Brazil,211049527.0,364.0,0.04510449066266941,76822027.828
26,Brunei,433285.0,721.0,0.00047677121978639684,312398.485
27,Bulgaria,7000119.0,393.0,0.0023376805945912182,2751046.767
28,Burkina Faso,20321378.0,16.0,0.00017147078883267752,325142.048
29,Burundi,10864245.0,6.0,6.922071076135157e-05,65185.47
30,Cambodia,16486542.0,21.0,0.0010024485666104554,346217.382
31,Cameroon,25876380.0,15.0,0.0017929783273999125,388145.7
32,Canada,37411047.0,685.0,0.04010517769033789,25626567.195
33,Cape Verde,549935.0,101.0,,55543.435
34,Central African Republic,4745185.0,4.0,0.00010055614265192679,18980.74
35,Chad,15946876.0,6.0,7.449815751670726e-05,95681.25600000001
36,Chile,18952038.0,230.0,0.00793253887952033,4358968.74
37,China,1.0,204.0,0.9999999999999999,0.20400000000000001
38,Colombia,50339443.0,1.0,0.009275647992005495,50339.443
39,Comoros,850886.0,33.0,,28079.238
40,Costa Rica,5047561.0,224.0,0.001782308912622572,1130653.664
41,Croatia,4130304.0,389.0,0.0018796045218911997,1606688.256
42,Cuba,11333483.0,42.0,0.0032607582287177564,476006.286
44,Cyprus,1.0,509.0,0.00030221447754668663,0.509
45,Czech Republic,10689209.0,573.0,0.014128319280494659,6124916.757
47,Denmark,5771876.0,438.0,0.011555677971394665,2528081.688
48,Djibouti,973560.0,28.0,2.5282368371744423e-05,27259.68
49,Dominica,71808.0,163.0,2.974807319967522e-06,11704.704
50,Dominican Republic,10738958.0,1.0,0.0030213503216538627,10738.958
51,Ecuador,17373662.0,141.0,0.0038357304353257133,2449686.342
52,Egypt,100388073.0,109.0,0.010204359502841796,10942299.957
53,El Salvador,6453553.0,41.0,0.001053525701080507,264595.673
54,Equatorial Guinea,1355986.0,13.0,0.0008327200049965648,17627.818
55,Eritrea,3497117.0,11.0,2.547840859409156e-05,38468.287000000004
56,Estonia,1325648.0,683.0,0.0010153959153082256,905417.584
57,Ethiopia,112078730.0,9.0,0.0012267423646243206,1008708.5700000001
59,Fiji,889953.0,188.0,0.00014417522952969833,167311.164
60,Finland,1.0,752.0,0.010449193679345449,0.752
61,France,1.0,478.0,0.06734969708325526,0.47800000000000004
63,Gabon,2172579.0,14.0,0.0008035103366435575,30416.106
64,Gambia,2347706.0,7.0,,16433.942
65,Georgia,1.0,281.0,0.00038844094684904127,0.281
66,Germany,83517045.0,561.0,0.20122615701705077,46853062.245
67,Ghana,28833629.0,32.0,0.0017130360377240646,922676.128
68,Greece,10473455.0,487.0,0.005228742739366685,5100572.585
70,Grenada,112003.0,122.0,9.337100743239023e-06,13664.366
71,Guatemala,17581472.0,115.0,0.0034992667541065515,2021869.28
73,Guinea,12771246.0,5.0,0.000288030229217413,63856.23
74,Guinea-Bissau,1920922.0,33.0,3.807727187558553e-05,63390.426
75,Guyana,782766.0,95.0,4.849393541939916e-05,74362.77
76,Haiti,11263770.0,7.0,0.00013017103241521453,78846.39
77,Honduras,9746117.0,18.0,0.0010039420398476047,175430.106
79,Hungary,9684679.0,355.0,0.007352630066829054,3438061.045
80,Iceland,339031.0,824.0,0.00048602760602086065,279361.544
81,India,1366417754.0,70.0,0.10069252388982573,95649242.78
82,Indonesia,270625568.0,77.0,0.051718943226531755,20838168.736
83,Iran,82913906.0,178.0,0.013605029042533258,14758675.268000001
84,Iraq,39309783.0,105.0,0.0008975159577790269,4127527.2150000003
85,Ireland,4882495.0,444.0,0.030951221035538067,2167827.7800000003
87,Israel,8519377.0,394.0,0.011071078633439509,3356634.538
88,Italy,60550075.0,655.0,0.0783771157329336,39660299.125
90,Jamaica,2948279.0,66.0,0.0003013026044594341,194586.414
91,Japan,126860301.0,649.0,0.25165948410467803,82332335.349
93,Jordan,10101694.0,123.0,0.002005965898444819,1242508.362
94,Kazakhstan,18551427.0,251.0,0.005120502154768596,4656408.177
95,Kenya,52573973.0,70.0,0.0017000919367934544,3680178.11
97,Kuwait,4207083.0,477.0,0.0024022392105427517,2006778.591
98,Kyrgyzstan,6415850.0,223.0,,1430734.55
99,Laos,7169455.0,20.0,,143389.1
100,Latvia,1906743.0,381.0,0.000889420023733683,726469.083
101,Lebanon,6855713.0,117.0,0.0010985105240147398,802118.421
102,Lesotho,2125268.0,4.0,9.586381862469551e-05,8501.072
103,Liberia,4937374.0,14.0,1.4255549309849477e-05,69123.236
104,Libya,6777452.0,1.0,0.0009691359690212978,6777.452
105,Liechtenstein,38019.0,773.0,,29388.687
106,Lithuania,2759627.0,463.0,0.0022047797139466614,1277707.301
107,Luxembourg,615729.0,670.0,0.000910863531322216,412538.43
109,Madagascar,26969307.0,27.0,0.0003496818437324339,728171.289
110,Malawi,18628747.0,8.0,0.0001474885016551121,149029.976
111,Malaysia,1.0,433.0,0.019317838985697333,0.433
112,Maldives,530953.0,28.0,,14866.684000000001
113,Mali,19658031.0,12.0,1.6191148585347573e-05,235896.372
114,Malta,440372.0,766.0,0.0002633914183998501,337324.952
115,Mauritania,4525696.0,10.0,9.686617950159264e-05,45256.96
116,Mauritius,1.0,192.0,0.0004037299356692274,0.192
117,Mexico,127575529.0,297.0,0.052827181312847415,37889932.113
118,Moldova,1.0,241.0,0.0003222864280806945,0.241
119,Monaco,38964.0,899.0,,35028.636
120,Mongolia,3225167.0,71.0,0.00030893185934669913,228986.85700000002
121,Montenegro,627987.0,326.0,5.477848978827056e-05,204723.76200000002
122,Morocco,36471769.0,111.0,0.004624780463431391,4048366.359
123,Mozambique,30366036.0,14.0,0.00032393554431328457,425124.504
124,Myanmar,54045420.0,20.0,0.003976013990381612,1080908.4
125,Namibia,2494530.0,106.0,0.0003667723440134907,264420.18
126,Nepal,28608710.0,5.0,0.0003620361001811255,143043.55000000002
127,Netherlands,1.0,487.0,0.025352070451564547,0.487
129,New Zealand,4783063.0,837.0,0.004691437136968334,4003423.731
130,Nicaragua,6545502.0,79.0,0.000465908188120667,517094.658
131,Niger,23310715.0,7.0,0.00012699374180251077,163175.005
132,Nigeria,200963599.0,64.0,0.00957459246767847,12861670.336000001
133,North Korea,25666161.0,11.0,,282327.771
134,North Macedonia,2083459.0,194.0,0.00040690575229529696,404191.04600000003
135,Norway,1.0,514.0,0.006398428580351008,0.514
136,Oman,4974986.0,335.0,0.007565723565049028,1666620.31
137,Pakistan,216565318.0,17.0,0.009575369433514459,3681610.406
139,Panama,4246439.0,171.0,0.0009394041596402472,726141.069
140,Papua New Guinea,8776109.0,13.0,0.00011052911123602523,114089.417
141,Paraguay,7044636.0,98.0,0.001979481856223846,690374.328
142,Peru,32510453.0,78.0,0.007178324901630129,2535815.3340000003
143,Philippines,108116615.0,38.0,0.01575188557866467,4108431.37
144,Poland,37887768.0,719.0,0.02449571669477234,27241305.192
145,Portugal,1.0,492.0,0.007311188557866466,0.492
147,Qatar,2832067.0,411.0,0.004399927549809506,1163979.537
149,Romania,19364557.0,450.0,0.011900061207919555,8714050.65
150,Russia,145872256.0,388.0,0.05096196364999063,56598435.328
151,Rwanda,12626950.0,5.0,5.9195478108800195e-05,63134.75
153,Saint Lucia,182790.0,165.0,,30160.350000000002
154,Saint Vincent and the Grenadines,110589.0,204.0,,22560.156
155,San Marino,33860.0,1.0,,33.86
157,Saudi Arabia,34268528.0,209.0,0.025169695834114044,7162122.352
158,Senegal,16296364.0,44.0,0.0011276484916619824,717040.0160000001
159,Serbia,1.0,336.0,0.0018341080507151331,0.336
160,Seychelles,97739.0,22.0,2.5535969021297857e-05,2150.2580000000003
161,Sierra Leone,7813215.0,6.0,2.1422884267066392e-05,46879.29
162,Singapore,5804337.0,170.0,0.018939306726625443,986737.29
163,Slovakia,5457013.0,408.0,,2226461.304
164,Slovenia,2078654.0,541.0,0.0027561676347511084,1124551.814
165,Somalia,15442905.0,3.0,1.0143758665917182e-05,46328.715000000004
166,South Africa,58558270.0,174.0,0.010815809131222284,10189138.98
167,South Korea,51225308.0,475.0,,24332021.3
169,Spain,1.0,648.0,0.03982237211916807,0.648
170,Sri Lanka,21323733.0,157.0,0.0036022384610580223,3347826.0810000002
171,Sudan,42813238.0,27.0,0.0010189037536693522,1155957.426
172,Suriname,581372.0,349.0,0.00013705819748922616,202898.828
175,Sweden,10036379.0,479.0,0.018515215789144963,4807425.541
176,Switzerland,8591365.0,720.0,0.03205721066766598,6185782.8
177,Syria,17070135.0,73.0,,1246119.855
179,Tajikistan,9321018.0,38.0,0.0001973417025794766,354198.684
180,Tanzania,1.0,7.0,0.0010202568234338892,0.007
181,Thailand,69037513.0,281.0,0.03395865342576978,19399541.153
183,Togo,8082366.0,27.0,8.808396727250015e-05,218223.882
184,Trinidad and Tobago,1394973.0,292.0,0.0011225667353694335,407332.116
185,Tunisia,11694719.0,129.0,0.0014219134345137717,1508618.751
186,Turkey,83429615.0,251.0,0.036704015989007556,20940833.365000002
187,Turkmenistan,5942089.0,107.0,0.00034948173130972454,635803.523
190,Uganda,44269594.0,12.0,0.000567113859221785,531235.128
191,Ukraine,1.0,219.0,0.003764456935856598,0.219
192,United Arab Emirates,9770529.0,234.0,0.009225584910374117,2286303.786
193,United Kingdom,67530172.0,471.0,0.06308887639747673,31806711.012000002
194,Uruguay,3461734.0,280.0,0.0017348660296046467,969285.52
195,Uzbekistan,32981716.0,37.0,0.0020612928611579537,1220323.492
196,Venezuela,28515829.0,145.0,0.01454923739928799,4134795.205
197,Vietnam,96462106.0,23.0,0.009799675223283991,2218628.438
198,Yemen,29161922.0,37.0,0.0009242181000562113,1078991.114
199,Zambia,17861030.0,23.0,0.0005659803884829179,410803.69
200,Zimbabwe,14645468.0,60.0,0.0006338357379301729,878728.0800000001
